,Ticker,Returns_multiple,RS_Rating
222,GL,0.9,41.15308151093439
223,GPN,0.81,27.037773359840955
224,GS,0.83,31.21272365805169
225,HAL,1.03,69.28429423459245
226,HIG,0.97,58.15109343936382
227,HAS,0.79,23.45924453280318
228,HCA,0.96,55.96421471172962
229,PEAK,0.69,12.027833001988071
230,HSIC,0.87,37.17693836978131
231,HSY,0.78,21.272365805168985
232,HES,1.0,64.41351888667992
233,HPE,1.02,67.39562624254472
234,HLT,1.07,75.7455268389662
235,HOLX,0.92,48.01192842942346
236,HD,0.91,44.333996023856855
237,HON,0.87,37.17693836978131
238,HRL,0.66,9.145129224652088
239,HST,0.83,31.21272365805169
240,HWM,1.14,84.79125248508946
241,HPQ,0.9,41.15308151093439
242,HUBB,1.09,78.03180914512923
243,HUM,0.89,39.662027833001986
244,HBAN,0.61,5.566600397614314
245,HII,0.8,25.646123260437374
246,IBM,0.98,61.23260437375746
247,IEX,0.79,23.45924453280318
248,IDXX,1.05,72.66401590457257
249,ITW,1.02,67.39562624254472
250,ILMN,0.44,0.8946322067594433
251,INCY,0.67,10.238568588469185
252,IR,1.12,81.70974155069582
253,PODD,0.52,1.8886679920477136
254,INTC,1.14,84.79125248508946
255,ICE,1.06,74.45328031809146
256,IFF,0.66,9.145129224652088
257,IP,0.96,55.96421471172962
258,IPG,0.87,37.17693836978131
259,INTU,1.05,72.66401590457257
260,ISRG,1.01,65.70576540755468
261,IVZ,0.8,25.646123260437374
262,INVH,0.85,34.39363817097416
263,IQV,0.82,28.628230616302186
264,IRM,1.13,83.1013916500994
265,JBHT,0.93,50.397614314115316
266,JKHY,0.68,11.232604373757455
267,J,1.08,77.03777335984095
268,JNJ,0.83,31.21272365805169
269,JCI,0.79,23.45924453280318
270,JPM,1.07,75.7455268389662
271,JNPR,0.79,23.45924453280318
272,K,0.7,13.419483101391648
273,KVUE,0.68,11.232604373757455
274,KDP,0.7,13.419483101391648
275,KEY,0.54,2.783300198807157
276,KEYS,0.63,7.157057654075547
277,KMB,0.94,52.18687872763419
278,KIM,0.77,20.178926441351887
279,KMI,0.92,48.01192842942346
280,KLAC,1.38,96.02385685884693
281,KHC,0.83,31.21272365805169
282,KR,0.91,44.333996023856855
283,LHX,0.66,9.145129224652088
284,LH,0.93,50.397614314115316
285,LRCX,1.4,96.91848906560637
286,LW,0.98,61.23260437375746
287,LVS,1.22,91.94831013916502
288,LDOS,0.87,37.17693836978131
289,LEN,1.21,90.95427435387674
290,LIN,1.15,86.28230616302187
291,LYV,0.91,44.333996023856855
292,LKQ,0.82,28.628230616302186
293,LMT,0.91,44.333996023856855
294,L,1.05,72.66401590457257
295,LOW,0.9,41.15308151093439
296,LULU,1.13,83.1013916500994
297,LYB,1.05,72.66401590457257
298,MTB,0.64,8.05168986083499
299,MRO,0.87,37.17693836978131
300,MPC,1.22,91.94831013916502
301,MKTX,0.83,31.21272365805169
